"Date","Time","Open","High","Low","Close","Vol","OI"
04/30/2025,16:00,547.57,556.52,541.52,554.54,93104034,0
05/01/2025,16:00,560.37,564.07,557.86,558.47,63186675,0
05/02/2025,16:00,564.73,568.38,562.38,566.76,60721425,0
05/05/2025,16:00,562.57,566.65,561.70,563.51,38660104,0
05/06/2025,16:00,557.93,563.35,556.96,558.80,48265515,0
05/07/2025,16:00,560.15,563.82,556.04,561.15,55735312,0
05/08/2025,16:00,565.24,570.31,561.70,565.06,65130920,0
05/09/2025,16:00,566.48,567.50,562.76,564.34,37615721,0
05/12/2025,16:00,581.47,583.00,577.04,582.99,78995741,0
05/13/2025,16:00,583.41,589.08,582.84,586.84,67947406,0
05/14/2025,16:00,587.81,588.98,585.54,587.59,66284700,0
05/15/2025,16:00,585.56,590.97,585.10,590.46,71269495,0
05/16/2025,16:00,591.25,594.50,589.28,594.20,76055594,0
05/19/2025,16:00,588.10,595.54,588.10,594.85,68170254,0
05/20/2025,16:00,593.09,594.05,589.60,592.85,60617498,0
05/21/2025,16:00,588.44,592.58,581.82,582.86,95198669,0
05/22/2025,16:00,582.66,586.62,581.41,583.09,70861515,0
05/23/2025,16:00,575.98,581.81,575.60,579.11,76034180,0
05/27/2025,16:00,586.07,591.31,578.43,591.15,72589716,0
05/28/2025,16:00,591.56,592.77,586.99,587.73,68450475,0
05/29/2025,16:00,593.06,593.20,586.07,590.05,70074414,0
05/30/2025,16:00,588.93,591.13,583.24,589.39,90603523,0
06/02/2025,16:00,587.76,592.79,585.06,592.71,61633502,0
06/03/2025,16:00,592.34,597.08,591.85,596.09,63606463,0
06/04/2025,16:00,596.96,597.95,595.49,595.93,57315636,0
06/05/2025,16:00,597.63,599.00,591.05,593.05,92443628,0
06/06/2025,16:00,598.66,600.83,596.86,599.14,66589650,0
06/09/2025,16:00,599.72,601.25,598.49,599.68,53018620,0
06/10/2025,16:00,600.22,603.47,599.09,603.08,66248090,0
06/11/2025,16:00,604.19,605.06,599.27,601.36,73660369,0
06/12/2025,16:00,600.01,603.75,599.52,603.75,64132755,0
06/13/2025,16:00,598.50,601.85,595.48,597.00,89508329,0
06/16/2025,16:00,600.40,604.45,600.22,602.68,79985551,0
06/17/2025,16:00,600.21,601.75,596.76,597.53,82209915,0
06/18/2025,16:00,598.44,601.22,596.47,597.44,76609892,0
06/20/2025,16:00,598.38,599.46,592.86,594.28,94055203,0
06/23/2025,16:00,595.04,600.54,591.89,600.15,87431862,0
06/24/2025,16:00,604.33,607.85,603.41,606.78,67735512,0
06/25/2025,16:00,607.91,608.61,605.54,607.12,62115564,0
06/26/2025,16:00,608.99,612.31,608.37,611.87,78550339,0
06/27/2025,16:00,612.88,616.39,610.83,614.91,86262218,0
06/30/2025,16:00,617.38,619.22,615.04,617.85,92505789,0
